id,tip
21,3.446
132,2.035
170,5.054
131,2.9829999999999997
99,1.9669999999999999
174,2.6729999999999996
6,2.196
149,1.8359999999999999
227,3.496
228,2.147
194,2.702
90,3.6189999999999998
42,2.326
128,2.003
84,2.558
144,2.7560000000000002
173,3.9449999999999994
87,2.9479999999999995
240,4.176
60,3.5140000000000002
114,3.7329999999999997
102,5.054
68,3.3770000000000002
197,4.554
148,1.6179999999999999
22,2.551
206,3.9019999999999997
54,3.649
1,1.626
162,2.685
198,2.1870000000000003
107,3.528
225,2.8519999999999994
154,3.308
72,4.103
136,1.8790000000000002
145,1.8990000000000002
232,1.668
26,2.147
69,2.4539999999999997
203,2.916
92,2.065
113,3.901
19,3.5460000000000003
35,3.249
234,2.356
34,2.8
46,3.9770000000000003
126,1.552
