id,tip
21,2.8384389226118514
132,1.7535790110308462
170,6.108122317508935
131,2.831658809434578
99,1.7809091785235087
174,2.362692185341882
6,3.0663034248541043
149,2.332465390259789
227,2.714341061463214
228,1.6857086546259603
194,2.316316144837531
90,3.87860875062749
42,2.004520838097354
128,1.8044337148155967
84,2.1551024392958764
144,2.301340815756896
173,3.514751092822622
87,2.345574026776927
240,3.41725605847675
60,2.829139935827814
114,3.7588446330637093
102,4.280088974340964
68,2.7199637029726484
197,4.135152729201636
148,2.4805259248509843
22,2.0562159394108397
206,3.165445176541736
54,3.4954069867613593
1,2.5878923895388066
162,2.348540674382963
198,1.8812123518896855
107,3.242541865552803
225,2.4888319873278633
154,2.7168163586291443
72,3.2197022407563476
136,1.919157411135005
145,2.275954462061708
232,1.595313590028987
26,1.6857086546259603
69,1.7943642636298152
203,2.368861478977485
92,2.1964293461203637
113,3.428385741504932
19,2.9176308682927745
35,3.397605087278398
234,1.862823411202363
34,2.3860178273112664
46,3.1643460664261647
126,2.4805259248509843
