id,tip
21,2.72363546023421
132,2.5734806693569574
170,2.5148349387120117
131,2.5734806693569574
99,3.3914463873667886
174,3.5774530371090902
6,3.131879859258667
149,3.171657177331649
227,3.3691507686044626
228,3.3691507686044626
194,2.957686735535707
90,3.2458767063492076
42,3.131879859258667
128,2.5734806693569574
84,3.171657177331649
144,2.5734806693569574
173,3.5774530371090902
87,3.171657177331649
240,2.9890406979488517
60,2.5148349387120117
114,3.4341724826399074
102,2.9890406979488517
68,3.3691507686044626
197,2.8757113785369213
148,3.171657177331649
22,2.72363546023421
206,2.5148349387120117
54,3.131879859258667
1,3.131879859258667
162,3.4341724826399074
198,2.8757113785369213
107,2.5148349387120117
225,2.6600400000000013
154,3.131879859258667
72,2.9890406979488517
136,2.5734806693569574
145,2.5734806693569574
232,3.3691507686044626
26,3.3691507686044626
69,2.5148349387120117
203,2.8757113785369213
92,3.2830351540616234
113,3.131879859258667
19,3.3691507686044626
35,3.3691507686044626
234,2.5148349387120117
34,3.3691507686044626
46,3.131879859258667
126,3.171657177331649
