id,tip
21,2.9531132075471684
132,1.655566037735849
170,6.384150943396229
131,3.2745283018867912
99,1.5606603773584895
174,2.3108490566037734
6,3.1299056603773567
149,2.9525471698113193
227,2.0989622641509436
228,1.4712264150943393
194,2.268301886792453
90,4.11603773584906
42,2.027830188679245
128,1.7620754716981128
84,2.052641509433964
144,2.027547169811322
173,2.523867924528303
87,2.03056603773585
240,3.3873584905660357
60,2.6847169811320737
114,3.719339622641511
102,4.071792452830188
68,2.5908490566037696
197,4.352169811320754
148,3.115660377358489
22,2.0746226415094338
206,2.2659433962264153
54,3.5866981132075484
1,1.9560377358490555
162,2.3807547169811363
198,2.0754716981132075
107,2.6066037735849057
225,3.0008490566037738
154,2.712641509433964
72,2.9299056603773574
136,1.8652830188679246
145,2.8027358490566034
232,1.436603773584905
26,1.5140566037735845
69,1.583962264150943
203,2.2471698113207554
92,1.7722641509433967
113,3.603679245283019
19,3.475471698113207
35,3.831603773584908
234,1.4822641509433947
34,2.217358490566036
46,3.3051886792452807
126,3.115660377358489
